what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523322721947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523322723605
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523322723630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322744120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322744898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322753655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322839076
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1523322841080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523322921663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523322948480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523322953113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523322965280
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523322977296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523322978621
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523322992015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322993494
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322994321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322994792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523322997676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523322998572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323000657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323007004
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323014739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323019681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323020440
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323023985
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1523323053496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323056267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323059251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323060515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323061168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523323069967
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523323075394
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1523323081041
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523323145433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523323146682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523323148881
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323151927
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323153321
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323154803
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323164838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323175295
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1523323179827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323180483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323182920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323189611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523323190823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323191203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323197719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323207633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323210768
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323226289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323227894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323343820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323344262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323635474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323636748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323638432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323645980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523323647647
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323655535
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323656312
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323667099
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1523323701173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323715787
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523323729957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523323731826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323732047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523323742268
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523323745571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323756587
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323759419
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323761177
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323791261
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323799016
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323800072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323801059
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323803911
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323807519
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323810988
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523323812053
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523323819655
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523323836023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523323843004
