what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847483147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847483965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847562408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847563632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847831153
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1523847833355
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847833355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1523847833372
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847835234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847835286
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847841248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847841485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847843702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847846498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847846704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847851652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847852546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847853203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847854625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847856974
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847859558
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847859706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847859902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847862406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847864782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847864951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847865835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847869285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847872480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847872658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847872830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847872981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847873142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847873444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847877017
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847879996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847880231
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847905014
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1523847906425
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847906425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1523847906475
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847907794
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523847907840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523847913005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847913413
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847916178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523847928970
