what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1489076224478
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1489076224647
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1489076226070
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1489076226102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076238935
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076243175
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1489076244906
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1489076244912
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1489076245005
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1489076245008
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1489076245229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076246643
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1489076271043
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1489076271046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076324729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1489076324747
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1489076329410
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1489076329566
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1489076329711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076329796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076333307
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1489076333335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076336598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076394762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1489076394781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076398305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076447999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076451284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076452902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1489076452921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076455122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076456585
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076457683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076517821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1489076517850
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1489076529497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076540405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076544655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076547975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076548214
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1489076548222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076551299
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076553305
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489076553320
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1489076553320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076554633
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076561807
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1489076567213
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1489076568179
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1489076568250
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1489077374521
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1489077374524
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1489077374527
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1489077374529
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1489077374530
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1489077374533
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1489077374535
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1489077374536
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1489077374538
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1489077374540
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1489077374542
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1489077374544
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1489077374545
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1489077374547
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1489077374549
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1489077374551
