what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal error logged from JDI Debug: ",1523399770330
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523399773348
error,log,,,"Internal error logged from JDI Debug: ",1523399779375
error,log,,,"Internal error logged from JDI Debug: ",1523399788402
error,log,,,"Internal error logged from JDI Debug: ",1523399797420
error,log,,,"Internal error logged from JDI Debug: ",1523399806451
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523399809469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399901523
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399904491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399906016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399908114
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523399972653
error,log,,,"Internal error logged from JDI Debug: ",1523399978851
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.DebugLast",1523399983156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399984601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523399986453
error,log,,,"Internal error logged from JDI Debug: ",1523399987879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1523399988456
error,log,,,"Internal error logged from JDI Debug: ",1523399996899
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523399996951
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523399999009
error,log,,,"Internal error logged from JDI Debug: ",1523400005931
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400008952
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523400009810
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400011122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400018686
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523400021821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400022751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400023647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400025003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400026253
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400028133
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400028745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400030510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400031206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400031671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400032650
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523400037699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523400041005
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400042464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400043487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400045202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400045808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400048096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400049215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400054833
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400057251
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523400062065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400100359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400101642
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1523400103158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400106147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400107208
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400110697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400111620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400123352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400257652
error,log,,,"Internal error logged from JDI Debug: ",1523400263848
error,log,,,"Internal error logged from JDI Debug: ",1523400272874
error,log,,,"Internal error logged from JDI Debug: ",1523400281894
error,log,,,"Internal error logged from JDI Debug: ",1523400290925
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400293951
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400307924
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1523400313277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400314147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400315063
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400315394
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1523400387891
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1523400405754
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1523400411759
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1523400415346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523400418793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523400422297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400426305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400428815
error,log,,,"Internal error logged from JDI Debug: ",1523400432492
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400434263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400435275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400436679
error,log,,,"Internal error logged from JDI Debug: ",1523400441519
error,log,,,"Internal error logged from JDI Debug: ",1523400450540
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523400459302
error,log,,,"Internal error logged from JDI Debug: ",1523400459571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523400461391
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400462598
error,log,,,"Internal error logged from JDI Debug: ",1523400468625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400471827
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1523400474895
error,log,,,"Internal error logged from JDI Debug: ",1523400477650
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523400478788
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523400482196
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1523400485346
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.upperCase",1523400485710
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523400486398
error,log,,,"Internal error logged from JDI Debug: ",1523400486681
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1523400487175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1523400487895
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1523400488971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1523400492377
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400492662
error,log,,,"Internal error logged from JDI Debug: ",1523400495717
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400498740
error,log,,,"Internal error logged from JDI Debug: ",1523400504766
error,log,,,"Internal error logged from JDI Debug: ",1523400513794
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400516861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400517983
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1523400518401
error,log,,,"Internal error logged from JDI Debug: ",1523400522815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400529326
error,log,,,"Internal error logged from JDI Debug: ",1523400531852
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400534877
error,log,,,"Internal error logged from JDI Debug: ",1523400540913
error,log,,,"Internal error logged from JDI Debug: ",1523400549944
error,log,,,"Internal error logged from JDI Debug: ",1523400558967
error,log,,,"Internal error logged from JDI Debug: ",1523400567998
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400571026
error,log,,,"Internal error logged from JDI Debug: ",1523400577054
error,log,,,"Internal error logged from JDI Debug: ",1523400586082
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1523400588011
error,log,,,"Internal error logged from JDI Debug: ",1523400595102
error,log,,,"Internal error logged from JDI Debug: ",1523400604133
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400607162
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523400611880
error,log,,,"Internal error logged from JDI Debug: ",1523400613194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400620370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400621081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400622218
error,log,,,"Internal error logged from JDI Debug: ",1523400622227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400622658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400624664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400625212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400626461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400627375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400630218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400630813
error,log,,,"Internal error logged from JDI Debug: ",1523400631250
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523400639716
error,log,,,"Internal error logged from JDI Debug: ",1523400640281
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523400643147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400643308
error,log,,,"At least one target failed to drop to frame after successful hot code replace.",1523400643310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400643782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400644917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400645456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400647126
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400647731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400648553
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400649254
error,log,,,"Internal error logged from JDI Debug: ",1523400649339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400651150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400651678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400654615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400655125
error,log,,,"Internal error logged from JDI Debug: ",1523400658365
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1523400661269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400667270
error,log,,,"Internal error logged from JDI Debug: ",1523400667387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523400670015
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1523400670039
